ui_file	line	function	page	visible_label	section	control_type	db_key_or_helper	values_min_max_step	apply_helper	registry_key	status	reason
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1295	MoveGroupLabel	auras3	Show Debuffs	Display	toggle	showDebuffs		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1297	MoveGroupLabel	auras3	Highlight own debuffs	Display	toggle	highlightOwnDebuffs		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1298	MoveGroupLabel	auras3	Highlight own healer buffs	Display	toggle	highlightOwn		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1299	MoveGroupLabel	auras3	Hide other healer buffs	Display	toggle	hideOthers		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1304	MoveGroupLabel	auras3	Show tooltip	Display	toggle	showTooltip		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1305	MoveGroupLabel	auras3	Show stack count	Display	toggle	showStackCount		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1306	MoveGroupLabel	auras3	Click-through auras	Display	toggle	clickThroughAuras		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1307	MoveGroupLabel	auras3	Show cooldown swipe	Display	toggle	showCooldownSwipe		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1308	MoveGroupLabel	auras3	Swipe darkens on loss	Display	toggle	cooldownSwipeDarkenOnLoss		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1309	MoveGroupLabel	auras3	Show cooldown text	Display	toggle	showCooldownText		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1310	MoveGroupLabel	auras3	Dispel-type borders	Display	toggle	useDebuffTypeBorders		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1311	MoveGroupLabel	auras3	Hide Masque borders	Display	toggle	masqueHideBorder		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1360	MoveGroupLabel	auras3	Buff Growth	Caps & Icons	dropdown	ValueDropdownAt	AO.GROWTH	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1363	MoveGroupLabel	auras3	Debuff Growth	Caps & Icons	dropdown	ValueDropdownAt	AO.GROWTH	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1366	MoveGroupLabel	auras3	Buff wrap rows	Caps & Icons	dropdown	ValueDropdownAt	AO.ROW_WRAP	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1369	MoveGroupLabel	auras3	Debuff wrap rows	Caps & Icons	dropdown	ValueDropdownAt	AO.ROW_WRAP	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1372	MoveGroupLabel	auras3	Sort order	Caps & Icons	dropdown	ValueDropdownAt	AO.SORT_ORDER	ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1417	MoveGroupLabel	auras3	Use Blizzard timer text (max performance)	Text Coloring	toggle	useBlizzardTimerText		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1418	MoveGroupLabel	auras3	Color aura timers by remaining time	Text Coloring	toggle	aurasCooldownTextUseBuckets		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1456	MoveGroupLabel	auras3	Safe (seconds)	Text Coloring	slider	aurasCooldownTextSafeSeconds	min=0;max=600;step=1	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1457	MoveGroupLabel	auras3	Warning (<=)	Text Coloring	slider	aurasCooldownTextWarningSeconds	min=0;max=30;step=1	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1458	MoveGroupLabel	auras3	Urgent (<=)	Text Coloring	slider	aurasCooldownTextUrgentSeconds	min=0;max=15;step=1	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1463	MoveGroupLabel	auras3	Enable Pandemic Window	Text Coloring	toggle	ValueSwitchAt				todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1480	MoveGroupLabel	auras3	Mode	Text Coloring	dropdown	ValueDropdownAt	AO.PANDEMIC_MODES	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1492	MoveGroupLabel	auras3	Show Sated/Exhaustion	Aura Filters & Sorting	toggle	showSated		ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1504	MoveGroupLabel	auras3	Sated threshold	Aura Filters & Sorting	slider	satedShowAtSeconds	min=0;max=600;step=5	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1505	MoveGroupLabel	auras3	Sort order	Aura Filters & Sorting	dropdown	ValueDropdownAt	AO.SORT_ORDER	ApplyAura		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1521	MoveGroupLabel	auras3	Override for this unit	Global Ignore List	toggle	ValueToggleAt		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1568	MoveGroupLabel	auras3	Enable Buff Reminders	Buff Reminders	toggle	showReminders		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1575	MoveGroupLabel	auras3	<dynamic:spec.label>	Buff Reminders	toggle	ToggleAt		ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1577	MoveGroupLabel	auras3	Expiry Warning	Buff Reminders	slider	reminderThreshold	min=0;max=600;step=5	ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_Advanced.lua	1578	MoveGroupLabel	auras3	Grow Direction	Buff Reminders	dropdown	reminderGrowth	AO.GROWTH	ApplyAura|Refresh		todo	Aura setup control on the Advanced/Aura page; Aura backend is intentionally excluded until it lands.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	803	BuildInlineClassPowerPreview	classpower	Animate	BuildInlineClassPowerPreview	button				class_power_preview_animate	registered	Matched Class Resources inline preview Animate button to registered Assistant action.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1072	BuildClassPower	classpower	Preview resource	BuildClassPower	dropdown		CLASS_POWER_PREVIEW_VALUES	Refresh	menu.classPowerPreviewResource	registered	Matched Class Resources preview dropdown to registered Assistant preview setting.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1086	BuildClassPower	classpower	Class Color	BuildClassPower	button				open_page	registered	Matched Class Color shortcut to Assistant open-page navigation action for Colors.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1091	BuildClassPower	classpower	MSUF Edit Mode	BuildClassPower	button				assistant.action.editMode.enter	registered	Matched MSUF Edit Mode button to Assistant edit-mode enter action.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1095	BuildClassPower	classpower	Quick Setup: Class Bar	BuildClassPower	button				class_power_quick_setup	registered	Matched Assistant action by label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1145	BuildClassPower	classpower	Class Resource	Layout	toggle	showClassPower		Refresh	bars.showClassPower	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1149	BuildClassPower	classpower	Height	Layout	slider	classPowerHeight	min=1;max=40;step=1		bars.classPowerHeight	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1150	BuildClassPower	classpower	Width mode	Layout	dropdown	classPowerWidthMode	"VT(""player"", ""Player frame"", ""cooldown"", ""Essential Cooldowns"", ""utility"", ""Utility Cooldowns"", ""tracked_buffs"", ""Tracked Buffs"", ""custom"", ""Custom"")"		bars.classPowerWidthMode	registered	Matched Class Resource width mode dropdown to registered setting.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1151	BuildClassPower	classpower	Width	Layout	slider	classPowerWidth	min=30;max=800;step=1		bars.classPowerWidth	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1152	BuildClassPower	classpower	Offset X	Layout	slider	classPowerOffsetX	min=-800;max=800;step=1		bars.classPowerOffsetX	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1153	BuildClassPower	classpower	Offset Y	Layout	slider	classPowerOffsetY	min=-800;max=800;step=1		bars.classPowerOffsetY	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1154	BuildClassPower	classpower	Frame level	Layout	slider	classPowerFrameLevelOffset	min=0;max=30;step=1		bars.classPowerFrameLevelOffset	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1178	BuildClassPower	classpower	Anchor to Essential Cooldown	Behavior	toggle	classPowerAnchorToCooldown			bars.classPowerAnchorToCooldown	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1179	BuildClassPower	classpower	Show empowered combo points	Behavior	toggle	showChargedComboPoints			bars.showChargedComboPoints	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1180	BuildClassPower	classpower	Show resource text	Behavior	toggle	classPowerShowText			bars.classPowerShowText	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1181	BuildClassPower	classpower	Show rune time (per rune)	Behavior	toggle	runeShowTime			bars.runeShowTime	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1182	BuildClassPower	classpower	Fill right-to-left	Behavior	toggle	classPowerFillReverse			bars.classPowerFillReverse	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1183	BuildClassPower	classpower	Show Maelstrom bar (Ele)	Behavior	toggle	showEleMaelstrom			bars.showEleMaelstrom	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1184	BuildClassPower	classpower	Show Ebon Might timer (Aug)	Behavior	toggle	showEbonMight			bars.showEbonMight	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1185	BuildClassPower	classpower	Show Insanity bar (Shadow)	Behavior	toggle	showShadowMana			bars.showShadowMana	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1186	BuildClassPower	classpower	Show resource prediction	Behavior	toggle	classPowerShowPrediction			bars.classPowerShowPrediction	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1232	SetStyleTab	classpower	Style area	Style	segment		"VT(""resources"", ""Textures"", ""text"", ""Text"", ""opacity"", ""Opacity"", ""pips"", ""Pips"")"		set_menu_selector_state	registered	Matched Class Resources Style segment to Assistant menu selector state action.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1252	StyleTabFrame	classpower	Color by resource type	Style	toggle	classPowerColorByType			bars.classPowerColorByType	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1253	StyleTabFrame	classpower	Combo point colors	Style	dropdown	classPowerComboPointColorMode	"VT(""default"", ""Resource color"", ""ramp"", ""Combo ramp"", ""custom"", ""Custom slots"")"		bars.classPowerComboPointColorMode	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1254	StyleTabFrame	classpower	Foreground texture	Style	dropdown	classPowerTexture	"function() return TextureValues(""Use global bar texture"") end"		bars.classPowerTexture	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1255	StyleTabFrame	classpower	Background texture	Style	dropdown	classPowerBgTexture	"function() return TextureValues(""Use foreground texture"") end"		bars.classPowerBgTexture	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1256	StyleTabFrame	classpower	Font size	Style	slider	classPowerFontSize	min=6;max=32;step=1		bars.classPowerFontSize	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1257	StyleTabFrame	classpower	Text X	Style	slider	classPowerTextOffsetX	min=-200;max=200;step=1		bars.classPowerTextOffsetX	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1258	StyleTabFrame	classpower	Text Y	Style	slider	classPowerTextOffsetY	min=-200;max=200;step=1		bars.classPowerTextOffsetY	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1259	StyleTabFrame	classpower	BG opacity	Style	slider	classPowerBgAlpha	min=0;max=100;step=1		bars.classPowerBgAlpha	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1260	StyleTabFrame	classpower	Filled %	Style	slider	classPowerFilledAlpha	min=0;max=100;step=5		bars.classPowerFilledAlpha	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1261	StyleTabFrame	classpower	Empty %	Style	slider	classPowerEmptyAlpha	min=0;max=100;step=5		bars.classPowerEmptyAlpha	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1262	StyleTabFrame	classpower	Separator	Style	slider	classPowerTickWidth	min=0;max=4;step=1		bars.classPowerTickWidth	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1263	StyleTabFrame	classpower	Outline	Style	slider	classPowerOutline	min=0;max=4;step=1		bars.classPowerOutline	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1264	StyleTabFrame	classpower	Pip gap	Style	slider	classPowerGap	min=0;max=8;step=1		bars.classPowerGap	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1292	StyleTabFrame	classpower	Hide out of combat	Auto-Hide	toggle	classPowerHideOOC			bars.classPowerHideOOC	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1293	StyleTabFrame	classpower	Hide when full	Auto-Hide	toggle	classPowerHideWhenFull			bars.classPowerHideWhenFull	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1294	StyleTabFrame	classpower	Hide when empty	Auto-Hide	toggle	classPowerHideWhenEmpty			bars.classPowerHideWhenEmpty	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1301	StyleTabFrame	classpower	Width mode	Detached Power Bar	dropdown		"VT(""manual"", ""Manual"", ""cooldown"", ""Essential Cooldowns"", ""utility"", ""Utility Cooldowns"", ""tracked_buffs"", ""Tracked Buffs"")"		bars.detachedPowerBarWidthMode	registered	Matched Detached Power Bar width mode dropdown to registered setting.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1308	StyleTabFrame	classpower	Foreground texture	Detached Power Bar	dropdown	detachedPowerBarTexture	"function() return TextureValues(""Use global bar texture"") end"		bars.detachedPowerBarTexture	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1309	StyleTabFrame	classpower	Background texture	Detached Power Bar	dropdown	detachedPowerBarBgTexture	"function() return TextureValues(""Use foreground texture"") end"		bars.detachedPowerBarBgTexture	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1310	StyleTabFrame	classpower	Power bar outline	Detached Power Bar	slider	detachedPowerBarOutline	min=0;max=6;step=1		bars.detachedPowerBarOutline	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1321	StyleTabFrame	classpower	Show mana bar (dual resource)	Alternative Mana Bar	toggle	showAltMana		Refresh	bars.showAltMana	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1322	StyleTabFrame	classpower	Height	Alternative Mana Bar	slider	altManaHeight	min=2;max=30;step=1	Refresh	bars.altManaHeight	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedClassPower.lua	1323	StyleTabFrame	classpower	Y offset	Alternative Mana Bar	slider	altManaOffsetY	min=-50;max=50;step=1	Refresh	bars.altManaOffsetY	registered	Matched Assistant setting by DB key or label/alias.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedColors.lua	321	SetHighlightRGB	opt_colors	<dynamic:label>	SetHighlightRGB	color		rgb 0..1		general.highlightColor	registered	Matched mouseover highlight color swatch to registered color setting.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedColors.lua	527	BuildPowerAndClassPowerColors	opt_colors	Power type	Power Bar Colors	dropdown	ValueDropdownAt	COLOR_DATA.POWER_TOKENS		set_menu_selector_state	registered	Matched runtime power-token dropdown to Assistant menu selector state action.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedColors.lua	537	BuildPowerAndClassPowerColors	opt_colors	Color	Power Bar Colors	color	ColorValueAt	rgb 0..1		general.powerColorOverrides.MANA|general.powerColorOverrides.RAGE|general.powerColorOverrides.ENERGY|general.powerColorOverrides.FOCUS|general.powerColorOverrides.RUNIC_POWER|general.powerColorOverrides.INSANITY|general.powerColorOverrides.FURY|general.powerColorOverrides.PAIN|general.powerColorOverrides.ESSENCE|general.powerColorOverrides.LUNAR_POWER|general.powerColorOverrides.MAELSTROM	registered	Matched selected power-token color swatch to registered power-color token settings.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedColors.lua	540	BuildPowerAndClassPowerColors	opt_colors	Reset	Power Bar Colors	button	ButtonAt			reset_power_color_token	registered	Matched selected power-token reset button to Assistant token reset action.
MidnightSimpleUnitFrames/Shell/Menu2/Pages/MSUF_Menu2_AdvancedColors.lua	548	BuildPowerAndClassPowerColors	opt_colors	Resource type	Class Power Colors	dropdown	ValueDropdownAt	COLOR_DATA.CP_TOKENS		set_menu_selector_state	registered	Matched runtime class-resource token dropdown to Assistant menu selector state action.
